Scientific (AviList),English (AviList)
Spatula cyanoptera borreroi,
Spatula cyanoptera orinoma,
Spatula cyanoptera cyanoptera,
Spatula smithii,Cape Shoveler
Spatula clypeata,Northern Shoveler
Spatula rhynchotis,Australasian Shoveler
Spatula rhynchotis rhynchotis,
Spatula rhynchotis variegata,
Mareca,
Mareca falcata,Falcated Duck
Mareca strepera,Gadwall
Mareca strepera strepera,
Mareca strepera couesi,
Mareca marecula,Amsterdam Wigeon
Mareca penelope,Eurasian Wigeon
Mareca americana,American Wigeon
Mareca sibilatrix,Chiloe Wigeon
Anas,
Anas sparsa,African Black Duck
Anas sparsa leucostigma,
Anas sparsa sparsa,
Anas melleri,Meller's Duck
Anas undulata,Yellow-billed Duck
Anas undulata ruppelli,
Anas undulata undulata,
Anas luzonica,Philippine Duck
Anas superciliosa,Pacific Black Duck
Anas superciliosa superciliosa,
Anas superciliosa pelewensis,
Anas wyvilliana,Hawaiian Duck
Anas laysanensis,Laysan Duck
Anas zonorhyncha,Eastern Spot-billed Duck
Anas poecilorhyncha,Indian Spot-billed Duck
Anas poecilorhyncha poecilorhyncha,
Anas poecilorhyncha haringtoni,
Anas platyrhynchos,Mallard
Anas platyrhynchos platyrhynchos,
Anas platyrhynchos conboschas,
Anas diazi,Mexican Duck
Anas rubripes,American Black Duck
Anas fulvigula,Mottled Duck
Anas fulvigula fulvigula,
Anas fulvigula maculosa,
Anas capensis,Cape Teal
Anas bahamensis,White-cheeked Pintail
Anas bahamensis bahamensis,
Anas bahamensis rubrirostris,
Anas bahamensis galapagensis,
Anas erythrorhyncha,Red-billed Teal
Anas georgica,Yellow-billed Pintail
Anas georgica niceforoi,
Anas georgica spinicauda,
Anas georgica georgica,
Anas acuta,Northern Pintail
Anas eatoni,Eaton's Pintail
Anas eatoni drygalskii,
Anas eatoni eatoni,
Anas crecca,Green-winged Teal
Anas crecca crecca,
Anas crecca carolinensis,
Anas flavirostris,Yellow-billed Teal
Anas flavirostris oxyptera,
Anas flavirostris flavirostris,
Anas andium,Andean Teal
Anas andium altipetens,
Anas andium andium,
Anas gibberifrons,Sunda Teal
Anas albogularis,Andaman Teal
Anas castanea,Chestnut Teal
Anas castanea castanea,
Anas castanea alexanderi,
Anas gracilis,Grey Teal
Anas gracilis gracilis,
Anas gracilis remissa,
Anas bernieri,Bernier's Teal
Anas theodori,Mascarene Teal
Anas chlorotis,Brown Teal
Anas aucklandica,Auckland Teal
Anas nesiotis,Campbell Teal
Galliformes,
Megapodiidae,
Leipoa,
Leipoa ocellata,Malleefowl
Talegalla,
Talegalla cuvieri,Red-billed Brushturkey
Talegalla fuscirostris,Black-billed Brushturkey
Talegalla jobiensis,Collared Brushturkey
Talegalla jobiensis jobiensis,
Talegalla jobiensis longicaudus,
Alectura,
Alectura lathami,Australian Brushturkey
Alectura lathami purpureicollis,
Alectura lathami lathami,
Aepypodius,
Aepypodius bruijnii,Waigeo Brushturkey
Aepypodius arfakianus,Wattled Brushturkey
Aepypodius arfakianus arfakianus,
Aepypodius arfakianus misoliensis,
Macrocephalon,
Macrocephalon maleo,Maleo
Eulipoa,
Eulipoa wallacei,Moluccan Megapode
Megapodius,
Megapodius pritchardii,Tongan Megapode
Megapodius laperouse,Micronesian Megapode
Megapodius laperouse senex,
Megapodius laperouse laperouse,
Megapodius nicobariensis,Nicobar Megapode
Megapodius nicobariensis nicobariensis,
Megapodius nicobariensis abbotti,
Megapodius cumingii,Philippine Megapode
Megapodius cumingii cumingii,
Megapodius cumingii dillwyni,
Megapodius cumingii pusillus,
Megapodius cumingii tabon,
Megapodius cumingii gilbertii,
Megapodius cumingii sanghirensis,
Megapodius cumingii talautensis,
Megapodius bernsteinii,Sula Megapode
Megapodius tenimberensis,Tanimbar Megapode
Megapodius freycinet,Dusky Megapode
Megapodius freycinet quoyii,
Megapodius freycinet freycinet,
Megapodius freycinet oustaleti,
Megapodius freycinet forsteni,
Megapodius freycinet buruensis,
Megapodius geelvinkianus,Biak Scrubfowl
Megapodius eremita,Melanesian Megapode
Megapodius layardi,Vanuatu Megapode
Megapodius decollatus,New Guinea Scrubfowl
Megapodius reinwardt,Orange-footed Scrubfowl
Megapodius reinwardt reinwardt,
Megapodius reinwardt macgillivrayi,
Megapodius reinwardt tumulus,
Megapodius reinwardt yorki,
Megapodius reinwardt castanonotus,
Cracidae,
Penelopina,
Penelopina nigra,Highland Guan
Chamaepetes,
Chamaepetes unicolor,Black Guan
Chamaepetes goudotii,Sickle-winged Guan
Chamaepetes goudotii goudotii,
Chamaepetes goudotii sanctaemarthae,
Chamaepetes goudotii fagani,
Chamaepetes goudotii tschudii,
Chamaepetes goudotii rufiventris,
Aburria,
Aburria aburri,Wattled Guan
Pipile,
Pipile pipile,Trinidad Piping Guan
Pipile cumanensis,Blue-throated Piping Guan
Pipile grayi,White-throated Piping Guan
Pipile cujubi,Red-throated Piping Guan
Pipile cujubi cujubi,
Pipile cujubi nattereri,
Pipile jacutinga,Black-fronted Piping Guan
Penelope,
