Scientific (Clements),IMAGES,DESC
Luscinia megarhynchos,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/168730581/640""><div class=""credit"">©&nbsp;Tânia Araújo</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45747211/640""><div class=""credit"">©&nbsp;Ferit Başbuğ</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45747231/640""><div class=""credit"">©&nbsp;Alexandre Hespanhol Leitão</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/45747241/640""><div class=""credit"">©&nbsp;Daniel Jauvin</div></div>","A plain brown bird with a pale eyering and rusty-brown tail, best known for its rich, powerful song which can keep people awake when given at night. In areas of overlap, compare with extremely similar Thrush Nightingale; note present species’ unmarked pale underparts, often with a variable buffy wash, as well as its warmer-toned back and brighter rufous tail. Song is extremely variable, and can include whistles, trills, rattles, and warbled phrases; elements often repeated. Calls include a very difficult-to-locate “teek”, low rattles, and harsh rasping calls. Found in varied wooded and scrubby habitats, typically with shady understory. Winters in similarly varied tangled habitats. Typically rather shy and elusive."
Luscinia phaenicuroides,"<div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/181341861/640""><div class=""credit"">©&nbsp;Matthew Kwan</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/181341871/640""><div class=""credit"">©&nbsp;Shailesh Pinto</div></div><div class=""img-w-txt""><div class=""type"">Immature male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/181341851/640""><div class=""credit"">©&nbsp;Cheng Qian</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/181341831/640""><div class=""credit"">©&nbsp;Ayuwat Jearwattanakanok</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/181341821/640""><div class=""credit"">©&nbsp;Rofikul Islam</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/181341841/640""><div class=""credit"">©&nbsp;Krit Adirek</div></div>","A dark, medium-sized songbird with a long orange-sided tail, totally unlike any other redstart. Breeds in shrubby montane areas, particularly in the transition zone between forest and more open habitats; winters in similarly dense habitat at lower elevations. Male is predominantly grayish blue, with orange tail edges and a white belly. Female lacks the namesake white underparts and is instead brown overall with darker upperparts. Immature males have a blue head and chest, but are otherwise brown overall. Other redstarts in its range have a noticeably shorter-tailed profile. Song is an alternating series of clear, bell-like whistles and slurred whistles; most common call is a hard “tuktuk,” like stones knocking together."
Luscinia svecica,"<div class=""img-w-txt""><div class=""type"">Adult male (Red-spotted)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261494631/640""><div class=""credit"">©&nbsp;Bryan Calk</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261495081/640""><div class=""credit"">©&nbsp;Abhishek Das</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261495341/640""><div class=""credit"">©&nbsp;Albin Jacob</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261495821/640""><div class=""credit"">©&nbsp;Daniel López-Velasco | Ornis Birding Expeditions</div></div><div class=""img-w-txt""><div class=""type"">Adult male (White-spotted)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496211/640""><div class=""credit"">©&nbsp;Christoph Moning</div></div><div class=""img-w-txt""><div class=""type"">Adult male (Iberian)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496461/640""><div class=""credit"">©&nbsp;Antonio Ceballos Barbancho</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496301/640""><div class=""credit"">©&nbsp;Andrew Spencer</div></div><div class=""img-w-txt""><div class=""type"">Nonbreeding male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496181/640""><div class=""credit"">©&nbsp;Kuzey Cem Kulaçoğlu</div></div><div class=""img-w-txt""><div class=""type"">Adult male (Red-spotted)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261495631/640""><div class=""credit"">©&nbsp;Ian Davies</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496021/640""><div class=""credit"">©&nbsp;Lukasz Pulawski</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496311/640""><div class=""credit"">©&nbsp;Miguel Rouco</div></div><div class=""img-w-txt""><div class=""type"">Nonbreeding male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496521/640""><div class=""credit"">©&nbsp;Miguel Rodríguez Esteban</div></div><div class=""img-w-txt""><div class=""type"">Adult male (Red-spotted)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/261496551/640""><div class=""credit"">©&nbsp;Rob Belterman</div></div>","Beautiful thrush-like bird that tends to stay hidden. Dull gray above, but a head-on view reveals a stunning pattern of electric blue and orange on the throat (some variation in pattern across range). Females show fainter colors than males, sometimes lacking blue entirely, but are still very boldly patterned. On the dullest young females, look for bold white eyebrow and throat, necklace of dark streaks, and rufous on the base of the tail. Variable song includes imitations of other species among a jumble of trills, whistles, and chirps. Typically found in scrubby, brushy habitat, often in edge areas: reedbeds, overgrown fields, and thickets. Usually skulky but singing males can perch conspicuously atop a bush. Breeds across Europe and Asia into Alaska; winters from northern Africa to southeast Asia."
Myophonus blighi,"<div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/252005071/640""><div class=""credit"">©&nbsp;Pavan Thilina Bopitiya Gamage</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/252005041/640""><div class=""credit"">©&nbsp;Gehan Rajeev</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/252005081/640""><div class=""credit"">©&nbsp;Tommy Pedersen</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/252005101/640""><div class=""credit"">©&nbsp;Shailesh Pinto</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/252005031/640""><div class=""credit"">©&nbsp;Andrew Spencer</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/252005061/640""><div class=""credit"">©&nbsp;Marco Valentini</div></div>","Short-tailed, thrushlike flycatcher. Male mostly dark blue, with bright blue shoulder, and dark bill. Female all rufous, with blue shoulder patch. Very secretive bird of the shady understory and ground, inside gullies within montane forest. Dark male resembles larger Indian Blackbird, although Whistling-Thrush is dark-billed, with a shorter tail. Female similar to other nondescript, brown songbirds, but uniform rufous coloration and blue shoulder patch identifies it from all others. Voice includes a high-pitched “sreee” and “si” notes, as well as a complex, rapid twittering song comprised of varied pitch, whistled notes."
Myophonus melanurus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460238161/640""><div class=""credit"">©&nbsp;Ngoc Sam Thuong Dang</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460238111/640""><div class=""credit"">©&nbsp;Ngoc Sam Thuong Dang</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231161/640""><div class=""credit"">©&nbsp;Oscar Johnson</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460238141/640""><div class=""credit"">©&nbsp;Ngoc Sam Thuong Dang</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460238101/640""><div class=""credit"">©&nbsp;Ngoc Sam Thuong Dang</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460238151/640""><div class=""credit"">©&nbsp;Ngoc Sam Thuong Dang</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231171/640""><div class=""credit"">©&nbsp;James Eaton</div></div>","Chunky dark blue bird with a small bill and a short tail. Note iridescent spangling on the neck and brow of the male; female is plainer, with less iridescence. Endemic to Sumatra, where it can be found along streams in damp and mossy mountain and foothill forests. Forages actively on the ground and up in streamside trees. Calls include a piercing descending whistle and strange grating notes."
Myophonus glaucinus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/275719171/640""><div class=""credit"">©&nbsp;Matthew Kwan</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/459745091/640""><div class=""credit"">©&nbsp;Bent Rønsholdt</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/275719181/640""><div class=""credit"">©&nbsp;Forest Botial-Jarvis</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/275719191/640""><div class=""credit"">©&nbsp;David Beadle</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/275719221/640""><div class=""credit"">©&nbsp;Bruno Durand</div></div>","Chunky dark blue bird. Brightest blue on the nape and shoulder. Readily distinguished from similar species by shape, uniform plumage, and dark bill. Often spreads its short tail in a rather unimpressive gesture. Endemic to Java and Bali, where it inhabits foothill and montane forests at 800-2400 meters. Typically encountered close to or on the ground, but will also perch up on branches at mid-height. Favors areas with rocky outcrops, sometimes (but not always) near water. Can be quite tame, especially in areas frequented by people. Gives a sharp, resonant “tsee-chk-chk!”"
Myophonus castaneus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460253581/640""><div class=""credit"">©&nbsp;Ngoc Sam Thuong Dang</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231421/640""><div class=""credit"">©&nbsp;James Eaton</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231361/640""><div class=""credit"">©&nbsp;David Cooper</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/460253591/640""><div class=""credit"">©&nbsp;Ngoc Sam Thuong Dang</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231411/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div>","Uncommon and unobtrusive, this chunky and mostly chestnut-colored bird is unlike any other whistling-thrush. Male has a dark blue head with an iridescent forehead, while the female has a brownish head. Both sexes have an iridescent blue patch on the shoulder which is only occasionally visible. Endemic to Sumatra’s foothill forests (400-1500 meters), often found close to shaded forest streams. Shy, but sometimes perches up on rocks and branches. Gives a loud “nyaaah” and a series of low buzzy notes."
Myophonus borneensis,"<div class=""img-w-txt""><div class=""type"">Adult male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239020871/640""><div class=""credit"">©&nbsp;Alex Berryman</div></div><div class=""img-w-txt""><div class=""type"">Adult female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239020921/640""><div class=""credit"">©&nbsp;Nigel Voaden</div></div><div class=""img-w-txt""><div class=""type"">Immature</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239020801/640""><div class=""credit"">©&nbsp;John Martin</div></div><div class=""img-w-txt""><div class=""type"">Adult male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239020791/640""><div class=""credit"">©&nbsp;智偉(Chih-Wei) 張(Chang)</div></div><div class=""img-w-txt""><div class=""type"">Adult male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239020811/640""><div class=""credit"">©&nbsp;David and Kathy Cook</div></div><div class=""img-w-txt""><div class=""type"">Adult female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/239020861/640""><div class=""credit"">©&nbsp;智偉(Chih-Wei) 張(Chang)</div></div>","Dark thrush-like bird of rocky streams and gullies in mountains and foothills. Male shows faint blue gloss in good lighting, while female is entirely dark brown. Frequently fans tail while perched. Can be quite tame, and often perches up on manmade structures such as fence posts and streamside stairways. Gives high whistled calls, including a shrill screeching “shreeee” and a more mellow whistled note."
Myophonus robinsoni,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/396936371/640""><div class=""credit"">©&nbsp;Koel Ko</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/396936311/640""><div class=""credit"">©&nbsp;Daisy O'Neill</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/396936321/640""><div class=""credit"">©&nbsp;Harn Sheng Khor</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/396936331/640""><div class=""credit"">©&nbsp;Daisy O'Neill</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/396936341/640""><div class=""credit"">©&nbsp;Alan Wight</div></div>","Dark bluish thrush-like bird with a bright yellow bill. Found solely in the highlands of peninsular Malaysia. Lacks “spangled” look of Blue Whistling-Thrush. Found in hilly or montane forests, where it favors wet stony areas around streams or gullies. Call is a high sharp whistle, somewhat akin to brakes squealing."
Myophonus horsfieldii,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133756601/640""><div class=""credit"">©&nbsp;Gavin Emmons</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133756611/640""><div class=""credit"">©&nbsp;Renuka Vijayaraghavan</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133756621/640""><div class=""credit"">©&nbsp;Amal U S</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133756631/640""><div class=""credit"">©&nbsp;Prashobh Ailyam Nair</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/133756641/640""><div class=""credit"">©&nbsp;Ashik Musicroom</div></div>","Deep blue ground-dweller with shining forehead and shoulder patches; belly can appear mottled blue-and-black in the right lighting. Inhabits foothills and montane forests, where it sticks closely to water, especially rocky streams and smaller rivers with overhanging vegetation and rocky ledges. Song is an eerie and human-like series of variable, deliberate-sounding whistles. Call is a high thin “tseeeeee.”"
Myophonus insularis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85755391/640""><div class=""credit"">©&nbsp;Chengheng Hu</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85755421/640""><div class=""credit"">©&nbsp;Gil Ewing</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85755411/640""><div class=""credit"">©&nbsp;尤 俊華</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85755381/640""><div class=""credit"">©&nbsp;Zhao-Hui(釗輝) LIN(林)</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85755371/640""><div class=""credit"">©&nbsp;Anonymous</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/85755401/640""><div class=""credit"">©&nbsp;Chengheng Hu</div></div>","Large songbird, blackish-blue with metallic sheen, appearing black from a distance and in poor lighting. Up close, a brighter blue patch on the shoulder and dark red irides are diagnostic. Frequently bobs and fans tail. Inhabits streamside areas in shaded forests. Gives piercing whistles frequently; less frequently heard song is melodic and consists of assorted whistles and trills."
Myophonus caeruleus,"<div class=""img-w-txt""><div class=""type"">Adult (Black-billed)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158658461/640""><div class=""credit"">©&nbsp;John Clough</div></div><div class=""img-w-txt""><div class=""type"">Adult (Yellow-billed)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158658451/640""><div class=""credit"">©&nbsp;Shah Jahan</div></div><div class=""img-w-txt""><div class=""type"">Adult (Black-billed)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158658471/640""><div class=""credit"">©&nbsp;Christoph Moning</div></div><div class=""img-w-txt""><div class=""type"">Adult (Black-billed)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158658481/640""><div class=""credit"">©&nbsp;John Clough</div></div><div class=""img-w-txt""><div class=""type"">Adult (Yellow-billed)</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158658441/640""><div class=""credit"">©&nbsp;Charley Hesse • Naturally Adventurous Podcast</div></div>","Large, found along streams in forested hills and mountains. Dark purple with tiny silvery spots on head, back, and wings. Bill color varies with range: dark in central and eastern China and parts of mainland Southeast Asia, bright yellow in populations elsewhere. Frequently fans tail while standing on an exposed perch such as a waterside rock or overhanging branch. True to its name, it does whistle: a long piercing note that carries well over the sound of rushing water."
Enicurus scouleri,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158684881/640""><div class=""credit"">©&nbsp;Craig Brelsford</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158684851/640""><div class=""credit"">©&nbsp;Craig Brelsford</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158684831/640""><div class=""credit"">©&nbsp;Scott (瑞興) LIN(林)</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158684901/640""><div class=""credit"">©&nbsp;Praveen es</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158684871/640""><div class=""credit"">©&nbsp;Tatsutomo Chin</div></div>","A stout little sprite of rushing streams, the smallest of the forktails and the only one lacking a long tail. Adult black with a white forecrown, belly, rump, and wing patches. Juvenile similar but grayer overall and lacks white crown. Approachable and active, though surprisingly easy to lose among the shadows and spray of its preferred habitat."
Enicurus leschenaulti,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158885181/640""><div class=""credit"">©&nbsp;Ayuwat Jearwattanakanok</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158885231/640""><div class=""credit"">©&nbsp;Larry Chen</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158885191/640""><div class=""credit"">©&nbsp;Paul Farrell</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/158885211/640""><div class=""credit"">©&nbsp;jimmy Yao</div></div>","A typical forktail, with piebald plumage and long tail. Like most other forktails, it inhabits shaded whitewater streams, along which it perches on boulders and low-hanging branches. Unmarked black back distinguishes it from Slaty-backed and Spotted forktails. Can be confused with Black-backed Forktail, but unlike that species, white does not extend behind the eye. Often detected by its vocalizations, a harsh buzzing whistle and high metallic whistles."
Enicurus borneensis,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/486136631/640""><div class=""credit"">©&nbsp;Marco Valentini</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/486136601/640""><div class=""credit"">©&nbsp;David Stejskal</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/486136621/640""><div class=""credit"">©&nbsp;Ashraf Anuar Zaini</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/486136641/640""><div class=""credit"">©&nbsp;Scott Baker</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/486136611/640""><div class=""credit"">©&nbsp;Christian  Schwarz</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/486136651/640""><div class=""credit"">©&nbsp;Marco Valentini</div></div>","A typical forktail, with piebald plumage and long tail. Black head, upper back, chest and wings; white belly, rump, forecrown and wingbar; black and white tail and pale-pink legs. Inhabits shaded whitewater streams through montane rainforests, along which it perches on boulders and low-hanging branches. May overlap at mid-elevations with the very similar White-crowned Forktail which occurs in the lowlands, but Bornean has a longer tail and less extensive white on the head. Often detected by its vocalizations, a harsh buzzing whistle and high metallic whistles."
Enicurus maculatus,"<div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351131/640""><div class=""credit"">©&nbsp;Kehar Singh</div></div><div class=""img-w-txt""><div class=""type"">Juvenile</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351181/640""><div class=""credit"">©&nbsp;Sachin Jadhav</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351141/640""><div class=""credit"">©&nbsp;Aidan Fonseca</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351171/640""><div class=""credit"">©&nbsp;Prashobh Ailyam Nair</div></div><div class=""img-w-txt""><div class=""type"">Adult</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351191/640""><div class=""credit"">©&nbsp;Adithya Bhat</div></div>","Stunning galaxy-like white spotting on the back separates this species from all other forktails. Picks its way through well-shaded forest streams and creeks, particularly in rocky areas; breeds in foothills and mountains, but sometimes descends in the winter. Frequently gives a loud buzzy “brzeeee!” as well as high thin whistles."
Enicurus velatus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231831/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231841/640""><div class=""credit"">©&nbsp;Edmond Sham</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231811/640""><div class=""credit"">©&nbsp;Lars Petersson | My World of Bird Photography</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231871/640""><div class=""credit"">©&nbsp;Shailesh Pinto</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/255231881/640""><div class=""credit"">©&nbsp;Scott Baker</div></div>","Elegant mountain stream specialist, endemic to Java and Sumatra. Typically encountered foraging alongside narrow and fast-moving forest waterways at 600-2000 meters. Dark gray above and white below, with a dark throat and slender white stripe around the forehead. Males have a gray crown, while females have a dark maroon one (difficult to see in poor lighting). Also note bright white rump. White-crowned Forktail is significantly larger, with white wingbars and a larger white forehead patch. Calls loudly, especially when alarmed, giving high thin whistles. Often bobs tail."
Enicurus ruficapillus,"<div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/224944251/640""><div class=""credit"">©&nbsp;Leslie Loh</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/224944301/640""><div class=""credit"">©&nbsp;Wai Loon Wong</div></div><div class=""img-w-txt""><div class=""type"">Male</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/224944281/640""><div class=""credit"">©&nbsp;Andaman Kaosung</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/224944261/640""><div class=""credit"">©&nbsp;Natthaphat Chotjuckdikul</div></div><div class=""img-w-txt""><div class=""type"">Female</div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/224944291/640""><div class=""credit"">©&nbsp;Pattaraporn Vangtal</div></div>","The scaly breast of this forktail makes it unmistakable, but its most striking feature is the bright rufous crown and nape, and in the case of the female, the upper back as well. Found along forested streams in lowland and foothills, where it can often be found perched on waterside rocks. Can be quite shy, flushing away into better-covered recesses when disturbed. Gives high thin whistles."
Enicurus immaculatus,"<div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351661/640""><div class=""credit"">©&nbsp;Craig Brelsford</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351651/640""><div class=""credit"">©&nbsp;Qiang Zeng</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351701/640""><div class=""credit"">©&nbsp;Aung Kyaw Myint</div></div><div class=""img-w-txt""><div class=""type""></div><img src=""https://cdn.download.ams.birds.cornell.edu/api/v1/asset/171351681/640""><div class=""credit"">©&nbsp;Biswajit De</div></div>","Black-and-white stream-dweller with a long, elegant tail. One of many similar forktails in its range. Most similar to White-crowned and Slaty-backed Forktails; look out for Black-backed’s namesake black back and also a thick white eyebrow which extends beyond the eye, rather than a large pale blotch on the forehead. Inhabits flowing streams, particularly in areas with cover, but can also be found in wet roadside gutters and small canals in pristine areas."
