Scientific (Clements),MNEMONIC
Zosterops rennellianus,nan
Timalia pileata,nan
Dumetia hyperythra,nan
Dumetia atriceps,nan
Mixornis kelleyi,nan
Mixornis flavicollis,nan
Mixornis prillwitzi,nan
Mixornis gularis,nan
Mixornis bornensis,nan
Macronus ptilosus,nan
Macronus striaticeps,nan
Cyanoderma chrysaeum,nan
Cyanoderma erythropterum,nan
Cyanoderma bicolor,nan
Cyanoderma melanothorax,nan
Cyanoderma rufifrons,nan
Cyanoderma pyrrhops,nan
Cyanoderma ruficeps,nan
Spelaeornis caudatus,nan
Spelaeornis badeigularis,nan
Spelaeornis troglodytoides,nan
Spelaeornis kinneari,nan
Spelaeornis chocolatinus,nan
Spelaeornis oatesi,nan
Spelaeornis longicaudatus,nan
Spelaeornis reptatus,nan
Melanocichla lugubris,nan
Melanocichla calva,nan
Pomatorhinus ferruginosus,nan
Pomatorhinus phayrei,nan
Pomatorhinus ochraceiceps,nan
Pomatorhinus superciliaris,nan
Pomatorhinus ruficollis,nan
Pomatorhinus musicus,nan
Pomatorhinus schisticeps,nan
Pomatorhinus horsfieldii,nan
Pomatorhinus melanurus,nan
Pomatorhinus bornensis,nan
Pomatorhinus montanus,nan
Erythrogenys hypoleucos,nan
Erythrogenys erythrogenys,nan
Erythrogenys imberbis,nan
Erythrogenys mcclellandi,nan
Erythrogenys gravivox,nan
Erythrogenys swinhoei,nan
Erythrogenys erythrocnemis,nan
Stachyris nigricollis,nan
Stachyris grammiceps,nan
Stachyris maculata,nan
Stachyris nigriceps,nan
Stachyris poliocephala,nan
Stachyris nonggangensis,nan
Stachyris herberti,nan
Stachyris humei,nan
Stachyris roberti,nan
Stachyris leucotis,nan
Stachyris thoracica,nan
Stachyris oglei,nan
Stachyris strialata,nan
Graminicola bengalensis,nan
Graminicola striatus,nan
Turdinus macrodactylus,nan
Turdinus marmoratus,nan
Turdinus atrigularis,nan
Malacopteron affine,nan
Malacopteron albogulare,nan
Malacopteron cinereum,nan
Malacopteron magnum,nan
Malacopteron magnirostre,nan
Malacopteron palawanense,nan
Gampsorhynchus rufulus,nan
Gampsorhynchus torquatus,nan
Schoeniparus cinereus,nan
Schoeniparus castaneceps,nan
Schoeniparus klossi,nan
Schoeniparus variegaticeps,nan
Schoeniparus rufogularis,nan
Schoeniparus dubius,nan
Schoeniparus brunneus,nan
Pellorneum ruficeps,nan
Pellorneum fuscocapillus,nan
Pellorneum palustre,nan
Pellorneum nigrocapitatum,nan
Pellorneum capistratoides,nan
Pellorneum capistratum,nan
Pellorneum malaccense,nan
Pellorneum cinereiceps,nan
Pellorneum albiventre,nan
Pellorneum tickelli,nan
Pellorneum buettikoferi,nan
Pellorneum pyrrogenys,nan
Pellorneum rostratum,nan
Pellorneum bicolor,nan
Pellorneum celebense,nan
Laticilla burnesii,nan
Laticilla cinerascens,nan
Illadopsis fulvescens,nan
Illadopsis rufipennis,nan
Illadopsis distans,nan
Illadopsis pyrrhoptera,nan
Illadopsis cleaveri,nan
Illadopsis albipectus,nan
Illadopsis turdina,nan
Illadopsis puveli,nan
Illadopsis rufescens,nan
Kenopia striata,nan
Malacocincla abbotti,nan
Malacocincla sepiaria,nan
Malacocincla perspicillata,nan
Gypsophila crassa,nan
Gypsophila brevicaudata,nan
Gypsophila annamensis,nan
Gypsophila calcicola,nan
Gypsophila crispifrons,nan
Gypsophila rufipectus,nan
Ptilocichla mindanensis,nan
Ptilocichla leucogrammica,nan
Ptilocichla falcata,nan
Napothera epilepidota,nan
Napothera malacoptila,nan
Napothera albostriata,nan
Napothera pasquieri,nan
Napothera naungmungensis,nan
Napothera danjoui,nan
Alcippe poioicephala,nan
Alcippe grotei,nan
Alcippe brunneicauda,nan
Alcippe pyrrhoptera,nan
Alcippe nipalensis,nan
Alcippe davidi,nan
Alcippe hueti,nan
Alcippe morrisonia,nan
Alcippe fratercula,nan
Alcippe peracensis,nan
Grammatoptila striata,nan
Cutia nipalensis,nan
Cutia legalleni,nan
Laniellus langbianis,nan
Laniellus albonotatus,nan
Trochalopteron subunicolor,nan
Trochalopteron austeni,nan
Trochalopteron squamatum,nan
Trochalopteron lineatum,nan
Trochalopteron imbricatum,nan
Trochalopteron virgatum,nan
Trochalopteron variegatum,nan
Trochalopteron affine,nan
Trochalopteron morrisonianum,nan
Trochalopteron henrici,nan
Trochalopteron elliotii,nan
Trochalopteron milnei,nan
Trochalopteron yersini,nan
Trochalopteron erythrocephalum,nan
Trochalopteron chrysopterum,nan
Trochalopteron formosum,nan
Trochalopteron melanostigma,nan
Trochalopteron ngoclinhense,nan
Trochalopteron peninsulae,nan
Montecincla jerdoni,nan
Montecincla cachinnans,nan
Montecincla fairbanki,nan
Montecincla meridionalis,nan
Heterophasia picaoides,nan
Heterophasia auricularis,nan
Heterophasia capistrata,nan
Heterophasia pulchella,nan
Heterophasia gracilis,nan
Heterophasia melanoleuca,nan
Heterophasia desgodinsi,nan
Actinodura nipalensis,nan
Actinodura morrisoniana,nan
Actinodura waldeni,nan
Actinodura souliei,nan
Actinodura cyanouroptera,nan
Actinodura strigula,nan
Actinodura egertoni,nan
Actinodura ramsayi,nan
Actinodura sodangorum,nan
Leiothrix lutea,nan
Leiothrix argentauris,nan
Minla ignotincta,nan
Leioptila annectens,nan
Liocichla bugunorum,nan
Liocichla omeiensis,nan
Liocichla steerii,nan
Liocichla phoenicea,nan
Liocichla ripponi,nan
Argya malcolmi,nan
Argya cinereifrons,nan
Argya longirostris,nan
Argya subrufa,nan
Argya rufescens,nan
Argya striata,nan
Argya affinis,nan
Argya rubiginosa,nan
Argya aylmeri,nan
Argya altirostris,nan
Argya huttoni,nan
Argya caudata,nan
Argya fulva,nan
Argya squamiceps,nan
Argya earlei,nan
Argya gularis,nan
Turdoides nipalensis,nan
Turdoides atripennis,nan
Turdoides gilberti,nan
Turdoides chapini,nan
Turdoides rufocinctus,nan
Turdoides plebejus,nan
Turdoides leucopygia,nan
Turdoides hindei,nan
Turdoides squamulata,nan
Turdoides jardineii,nan
Turdoides gymnogenys,nan
Turdoides leucocephala,nan
Turdoides reinwardtii,nan
Turdoides tenebrosa,nan
Turdoides bicolor,nan
Turdoides hartlaubii,nan
Turdoides sharpei,nan
Turdoides melanops,nan
Turdoides hypoleuca,nan
Garrulax merulinus,nan
Garrulax annamensis,nan
Garrulax canorus,nan
Garrulax taewanus,nan
Garrulax monileger,nan
Garrulax rufifrons,nan
Garrulax palliatus,nan
Garrulax leucolophus,nan
Garrulax bicolor,nan
Garrulax milleti,nan
Garrulax strepitans,nan
Garrulax ferrarius,nan
Garrulax maesi,nan
Garrulax castanotis,nan
Ianthocincla sukatschewi,nan
Ianthocincla rufogularis,nan
Ianthocincla konkakinhensis,nan
Ianthocincla cineracea,nan
Ianthocincla ocellata,nan
Ianthocincla maxima,nan
Ianthocincla bieti,nan
Ianthocincla lunulata,nan
Pterorhinus delesserti,nan
Pterorhinus gularis,nan
Pterorhinus vassali,nan
Pterorhinus galbanus,nan
Pterorhinus courtoisi,nan
Pterorhinus mitratus,nan
Pterorhinus treacheri,nan
Pterorhinus ruficollis,nan
Pterorhinus nuchalis,nan
Pterorhinus chinensis,nan
Pterorhinus sannio,nan
Pterorhinus perspicillatus,nan
Pterorhinus pectoralis,nan
Pterorhinus davidi,nan
Pterorhinus woodi,nan
Pterorhinus lanceolatus,nan
Pterorhinus waddelli,nan
Pterorhinus koslowi,nan
Pterorhinus albogularis,nan
Pterorhinus ruficeps,nan
Pterorhinus caerulatus,nan
Pterorhinus berthemyi,nan
Pterorhinus poecilorhynchus,nan
Corthylio calendula,ji-dit; ji-dit; ji-dit (rattly)<br/>too-fritchyoo-fritchyoo-fritchyoo-
Regulus satrapa,see-see-see- (hp)
Regulus regulus,nan
Regulus goodfellowi,nan
Regulus madeirensis,nan
Regulus ignicapilla,nan
Tichodroma muraria,nan
Sitta leucopsis,nan
Sitta przewalskii,nan
Sitta magna,nan
Sitta carolinensis,anh-anh-anh-anh- (nasally)<br/>tooy-tooy-tooy-tooy<br/>wee-wee-wee-wee-who-who-who-who-
Sitta formosa,nan
Sitta azurea,nan
Sitta frontalis,nan
Sitta solangiae,nan
Sitta oenochlamys,nan
Sitta pygmaea,pippit; pippit; pippit 
Sitta pusilla,kit-kit-kit-..or ki-dit; ki-dit  (rapid)
Sitta insularis,nan
Sitta yunnanensis,nan
Sitta ledanti,nan
Sitta krueperi,nan
Sitta canadensis,ank-ank-ank (nasal monotone)
Sitta whiteheadi,nan
Sitta villosa,nan
Sitta neumayer,nan
Sitta tephronota,nan
Sitta arctica,nan
Sitta victoriae,nan
Sitta himalayensis,nan
Sitta castanea,nan
Sitta cinnamoventris,nan
Sitta neglecta,nan
Sitta europaea,nan
Sitta nagaensis,nan
Sitta cashmirensis,nan
Salpornis salvadori,nan
Salpornis spilonota,nan
Certhia familiaris,nan
Certhia hodgsoni,nan
Certhia tianquanensis,nan
Certhia americana,trill (hp; rapid) always as individuals
Certhia brachydactyla,nan
Certhia himalayana,nan
Certhia nipalensis,nan
Certhia discolor,nan
Certhia manipurensis,nan
Microbates collaris,nan
Microbates cinereiventris,nan
Ramphocaenus melanurus,nan
Ramphocaenus sticturus,nan
Polioptila guianensis,nan
Polioptila schistaceigula,nan
Polioptila clementsi,nan
Polioptila facilis,nan
Polioptila attenboroughi,nan
Polioptila paraensis,nan
Polioptila dumicola,nan
Polioptila lactea,nan
Polioptila lembeyei,nan
Polioptila plumbea,nan
Polioptila maior,nan
Polioptila albiventris,nan
Polioptila bilineata,nan
Polioptila caerulea,zpeee (a bit raspy)
Polioptila melanura,nan
Polioptila californica,nan
Polioptila nigriceps,nan
Polioptila albiloris,nan
Salpinctes obsoletus,ch-reee; ch-reee; ch-reee (a bit trilly-buzzy)<br/>chee-urr; chee-urr; chee-urr (a bit raspy)<br/>tik-eer
Microcerculus philomela,nan
Microcerculus marginatus,nan
Microcerculus ustulatus,nan
Microcerculus bambla,nan
Odontorchilus branickii,nan
Odontorchilus cinereus,nan
Catherpes mexicanus,tewee; tewee; tewee (slowing)<br/>tsheee (raspy; metallic)
Hylorchilus sumichrasti,nan
Hylorchilus navai,nan
Ferminia cerverai,nan
Troglodytes aedon,nan
Troglodytes beani,nan
Troglodytes martinicensis,nan
Troglodytes mesoleucus,nan
Troglodytes musicus,nan
Troglodytes grenadensis,nan
Troglodytes musculus,nan
Troglodytes cobbi,nan
Troglodytes sissonii,nan
Troglodytes tanneri,nan
Troglodytes rufociliatus,nan
Troglodytes ochraceus,nan
Troglodytes solstitialis,nan
Troglodytes monticola,nan
Troglodytes rufulus,nan
Troglodytes troglodytes,nan
Troglodytes pacificus,nan
Troglodytes hiemalis,varied; complicated; bubbly and busy
Thryorchilus browni,nan
Cistothorus stellaris,chip; chip or chip; chip; chrrrrr-rrr
Cistothorus platensis,nan
Cistothorus meridae,nan
Cistothorus apolinari,nan
Cistothorus palustris,varied; complicated; fast; bubbly and busy
Thryothorus ludovicianus,brrrrrrr (a brief; downslurred; rapid trill like thumbing comb tines)<br/>chooble-dee (varied triplet phrases)<br/>tea-kettle; tea-kettle; tea-kettle
Thryomanes bewickii,like Song Sparrow; but thinner; more rapid
Campylorhynchus albobrunneus,nan
Campylorhynchus zonatus,nan
Campylorhynchus megalopterus,nan
Campylorhynchus chiapensis,nan
Campylorhynchus humilis,nan
Campylorhynchus rufinucha,nan
Campylorhynchus capistratus,nan
Campylorhynchus gularis,nan
Campylorhynchus jocosus,nan
Campylorhynchus yucatanicus,nan
Campylorhynchus brunneicapillus,nan
Campylorhynchus nuchalis,nan
Campylorhynchus fasciatus,nan
Campylorhynchus griseus,nan
Campylorhynchus turdinus,nan
Pheugopedius spadix,nan
Pheugopedius fasciatoventris,nan
Pheugopedius euophrys,nan
Pheugopedius schulenbergi,nan
Pheugopedius eisenmanni,nan
Pheugopedius mystacalis,nan
Pheugopedius genibarbis,nan
Pheugopedius coraya,nan
Pheugopedius rutilus,nan
Pheugopedius maculipectus,nan
Pheugopedius sclateri,nan
Pheugopedius felix,nan
Pheugopedius atrogularis,nan
Thryophilus sinaloa,nan
Thryophilus pleurostictus,nan
Thryophilus rufalbus,nan
Thryophilus sernai,nan
Thryophilus nicefori,nan
Cantorchilus thoracicus,nan
Cantorchilus leucopogon,nan
Cantorchilus modestus,nan
Cantorchilus zeledoni,nan
Cantorchilus elutus,nan
Cantorchilus semibadius,nan
Cantorchilus nigricapillus,nan
Cantorchilus superciliaris,nan
Cantorchilus leucotis,nan
Cantorchilus longirostris,nan
Cantorchilus guarayanus,nan
Cantorchilus griseus,nan
Cinnycerthia unirufa,nan
Cinnycerthia olivascens,nan
Cinnycerthia peruana,nan
Cinnycerthia fulva,nan
Uropsila leucogastra,nan
Henicorhina leucosticta,nan
Henicorhina leucoptera,nan
Henicorhina leucophrys,nan
Henicorhina anachoreta,nan
Henicorhina negreti,nan
Cyphorhinus dichrous,nan
Cyphorhinus thoracicus,nan
Cyphorhinus phaeocephalus,nan
Cyphorhinus arada,nan
Elachura formosa,nan
Cinclus cinclus,nan
Cinclus pallasii,nan
Cinclus mexicanus,nan
Cinclus leucocephalus,nan
Cinclus schulzii,nan
Buphagus erythroryncha,nan
Buphagus africanus,nan
Rhabdornis mystacalis,nan
Rhabdornis grandis,nan
Rhabdornis inornatus,nan
Rhabdornis rabori,nan
Enodes erythrophris,nan
Scissirostrum dubium,nan
Aplonis metallica,nan
Aplonis mystacea,nan
Aplonis crassa,nan
Aplonis feadensis,nan
Aplonis insularis,nan
Aplonis magna,nan
Aplonis brunneicapillus,nan
Aplonis grandis,nan
Aplonis dichroa,nan
Aplonis zelandica,nan
Aplonis striata,nan
Aplonis pelzelni,nan
Aplonis cantoroides,nan
Aplonis santovestris,nan
Aplonis panayensis,nan
Aplonis mysolensis,nan
Aplonis minor,nan
Aplonis opaca,nan
Aplonis tabuensis,nan
Aplonis atrifusca,nan
Aplonis corvina,nan
Aplonis cinerascens,nan
Aplonis mavornata,nan
Aplonis fusca,nan
Aplonis ulietensis,nan
Basilornis celebensis,nan
Basilornis galeatus,nan
Basilornis corythaix,nan
Goodfellowia miranda,nan
Sarcops calvus,nan
Streptocitta albicollis,nan
Streptocitta albertinae,nan
Mino dumontii,nan
Mino anais,nan
Mino kreffti,nan
Ampeliceps coronatus,nan
Gracula ptilogenys,nan
Gracula religiosa,nan
Gracula venerata,nan
Gracula indica,nan
Sturnus vulgaris,nan
Sturnus unicolor,nan
Creatophora cinerea,nan
Pastor roseus,nan
Agropsar sturninus,nan
Agropsar philippensis,nan
Gracupica nigricollis,nan
Gracupica contra,nan
Gracupica floweri,nan
Gracupica jalla,nan
Sturnornis albofrontatus,nan
Leucopsar rothschildi,nan
Necropsar rodericanus,nan
Fregilupus varius,nan
Sturnia sinensis,nan
Sturnia pagodarum,nan
Sturnia malabarica,nan
Sturnia blythii,nan
Sturnia erythropygia,nan
Spodiopsar sericeus,nan
Spodiopsar cineraceus,nan
Acridotheres tristis,nan
Acridotheres ginginianus,nan
Acridotheres burmannicus,nan
Acridotheres leucocephalus,nan
Acridotheres melanopterus,nan
Acridotheres fuscus,nan
Acridotheres javanicus,nan
Acridotheres cinereus,nan
Acridotheres albocinctus,nan
Acridotheres grandis,nan
Acridotheres cristatellus,nan
Hartlaubius auratus,nan
Cinnyricinclus leucogaster,nan
Onychognathus tenuirostris,nan
Onychognathus nabouroup,nan
Onychognathus neumanni,nan
Onychognathus morio,nan
Onychognathus fulgidus,nan
Onychognathus walleri,nan
Onychognathus tristramii,nan
Onychognathus albirostris,nan
Onychognathus salvadorii,nan
Onychognathus blythii,nan
Onychognathus frater,nan
Saroglossa spilopterus,nan
Neocichla gutturalis,nan
Grafisia torquata,nan
Speculipastor bicolor,nan
Pholia sharpii,nan
Arizelopsar femoralis,nan
Poeoptera lugubris,nan
Poeoptera stuhlmanni,nan
Poeoptera kenricki,nan
Notopholia corusca,nan
Hylopsar purpureiceps,nan
Hylopsar cupreocauda,nan
Lamprotornis hildebrandti,nan
Lamprotornis shelleyi,nan
Lamprotornis australis,nan
Lamprotornis purpuroptera,nan
Lamprotornis caudatus,nan
Lamprotornis mevesii,nan
Lamprotornis unicolor,nan
Lamprotornis splendidus,nan
Lamprotornis ornatus,nan
Lamprotornis regius,nan
Lamprotornis superbus,nan
Lamprotornis pulcher,nan
Lamprotornis bicolor,nan
Lamprotornis albicapillus,nan
Lamprotornis fischeri,nan
Lamprotornis chloropterus,nan
Lamprotornis acuticaudus,nan
Lamprotornis chalybaeus,nan
Lamprotornis iris,nan
Lamprotornis purpureus,nan
Lamprotornis nitens,nan
Lamprotornis chalcurus,nan
Melanotis caerulescens,nan
Melanotis hypoleucus,nan
Melanoptila glabrirostris,nan
Dumetella carolinensis,meeeee-ew or maaaaaanh (nasal)<br/>varied mocker-like phrases (seldom repeated)
Ramphocinclus brachyurus,nan
Ramphocinclus sanctaeluciae,nan
Allenia fusca,nan
Margarops fuscatus,nan
Cinclocerthia ruficauda,nan
Cinclocerthia gutturalis,nan
Toxostoma curvirostre,nan
Toxostoma ocellatum,nan
Toxostoma rufum,varied mocker-like phrases (repeated 2x)<br/>drop-it; drop-it; cover-it-up; <br/>cover-it-up; pull-it-up; pull-it-up
Toxostoma longirostre,nan
Toxostoma guttatum,nan
Toxostoma bendirei,nan
Toxostoma cinereum,nan
Toxostoma redivivum,nan
Toxostoma lecontei,nan
Toxostoma crissale,nan
Oreoscoptes montanus,nan
Mimus thenca,nan
Mimus patagonicus,nan
Mimus saturninus,nan
Mimus triurus,nan
Mimus dorsalis,nan
Mimus gundlachii,nan
Mimus parvulus,nan
Mimus trifasciatus,nan
Mimus macdonaldi,nan
Mimus melanotis,nan
Mimus longicaudatus,nan
Mimus graysoni,nan
Mimus gilvus,nan
Mimus polyglottos,varied phrases (thrice or more repeated)
Pinarornis plumosus,nan
Grandala coelicolor,nan
Sialia sialis,pew or mew (sharply)<br/>chatter (harsh; brief)
Sialia mexicana,few (sofly)
Sialia currucoides,nan
Stizorhina fraseri,nan
Stizorhina finschi,nan
Neocossyphus rufus,nan
Neocossyphus poensis,nan
Myadestes townsendi,nan
Myadestes occidentalis,nan
Myadestes elisabeth,nan
Myadestes genibarbis,nan
Myadestes melanops,nan
Myadestes coloratus,nan
Myadestes unicolor,nan
Myadestes ralloides,nan
Myadestes myadestinus,nan
Myadestes woahensis,nan
Myadestes lanaiensis,nan
Myadestes obscurus,nan
Myadestes palmeri,nan
Zoothera dixoni,nan
Zoothera mollissima,nan
Zoothera salimalii,nan
Zoothera griseiceps,nan
Zoothera heinrichi,nan
Zoothera marginata,nan
Zoothera monticola,nan
Zoothera everetti,nan
Zoothera andromedae,nan
Zoothera aurea,nan
Zoothera dauma,nan
Zoothera major,nan
Zoothera neilgherriensis,nan
Zoothera imbricata,nan
Zoothera terrestris,nan
Zoothera margaretae,nan
Zoothera turipavae,nan
Zoothera lunulata,nan
Zoothera talaseae,nan
Zoothera atrigena,nan
Zoothera heinei,nan
Zoothera machiki,nan
Chlamydochaera jefferyi,nan
Cochoa purpurea,nan
Cochoa viridis,nan
Cochoa beccarii,nan
Cochoa azurea,nan
Ixoreus naevius,chyup
Catharus gracilirostris,nan
Catharus aurantiirostris,nan
Catharus fuscater,nan
Catharus occidentalis,nan
Catharus frantzii,nan
Catharus mexicanus,nan
Catharus dryas,nan
Catharus maculatus,nan
Catharus fuscescens,veer-veer-veer-veer- (ethereal)
Catharus minimus,whee-wheeo-titi-whee (thin; nasal)
Catharus bicknelli,nan
Catharus ustulatus,rurrip; rurrip   whit; whit
Catharus guttatus,veer-veer-veer-veer-<br/>Why don'tcha come to me? <br/>Here I am right near you
Hylocichla mustelina,chk-chk-chk (dry-subtle)<br/>ra-vi-o-li (flute-like)<br/>ee-oh-lay (flute-like - last note trilly)<br/>ra-vi-o-li (flute-like)<br/>oo-duh-lay-oh or oodle-drrrr (last note trilly)<br/>fweet-fweet-fweet (rapid-fire)
Entomodestes coracinus,nan
Entomodestes leucotis,nan
Cichlopsis leucogenys,nan
Ridgwayia pinicola,nan
Geokichla sibirica,nan
Geokichla wardii,nan
Geokichla guttata,nan
Geokichla camaronensis,nan
Geokichla princei,nan
Geokichla crossleyi,nan
Geokichla oberlaenderi,nan
Geokichla piaggiae,nan
Geokichla gurneyi,nan
Geokichla spiloptera,nan
Geokichla cinerea,nan
Geokichla dumasi,nan
Geokichla joiceyi,nan
Geokichla interpres,nan
Geokichla leucolaema,nan
Geokichla dohertyi,nan
Geokichla peronii,nan
Geokichla schistacea,nan
Geokichla erythronota,nan
Geokichla mendeni,nan
Geokichla citrina,nan
Turdus mupinensis,nan
Turdus simensis,nan
Turdus litsitsirupa,nan
Turdus viscivorus,nan
Turdus philomelos,nan
Turdus tephronotus,nan
Turdus ludoviciae,nan
Turdus menachensis,nan
Turdus mandarinus,nan
Turdus bewsheri,nan
Turdus libonyana,nan
Turdus olivaceus,nan
Turdus abyssinicus,nan
Turdus helleri,nan
Turdus roehli,nan
Turdus xanthorhynchus,nan
Turdus olivaceofuscus,nan
Turdus niveiceps,nan
Turdus boulboul,nan
Turdus simillimus,nan
Turdus pelios,nan
Turdus smithi,nan
Turdus iliacus,nan
Turdus merula,nan
Turdus unicolor,nan
Turdus dissimilis,nan
Turdus hortulorum,nan
Turdus cardis,nan
Turdus mindorensis,nan
Turdus thomassoni,nan
Turdus nigrorum,nan
Turdus erythropleurus,nan
Turdus schlegelii,nan
Turdus javanicus,nan
Turdus deningeri,nan
Turdus papuensis,nan
Turdus heinrothi,nan
Turdus bougainvillei,nan
Turdus kulambangrae,nan
Turdus vanikorensis,nan
Turdus pritzbueri,nan
Turdus xanthopus,nan
Turdus poliocephalus,nan
Turdus samoensis,nan
Turdus ruficeps,nan
Turdus maximus,nan
Turdus kessleri,nan
Turdus pallidus,nan
Turdus obscurus,nan
Turdus feae,nan
Turdus celaenops,nan
Turdus chrysolaus,nan
Turdus pilaris,nan
Turdus albocinctus,nan
Turdus rubrocanus,nan
Turdus torquatus,nan
Turdus atrogularis,nan
Turdus ruficollis,nan
Turdus eunomus,nan
Turdus naumanni,nan
Turdus turdoides,nan
Turdus ravidus,nan
Turdus aurantius,nan
Turdus plumbeus,nan
Turdus ardosiaceus,nan
Turdus infuscatus,nan
Turdus nigrescens,nan
Turdus rufitorques,nan
Turdus migratorius,"cheer-up; cheer-a-lee; cheer-ee-o, whinny"
Turdus rufopalliatus,nan
Turdus plebejus,nan
Turdus swalesi,nan
Turdus jamaicensis,nan
Turdus leucops,nan
Turdus lherminieri,nan
Turdus fulviventris,nan
Turdus reevei,nan
Turdus serranus,nan
Turdus olivater,nan
Turdus nigriceps,nan
Turdus fuscater,nan
Turdus chiguanco,nan
Turdus falcklandii,nan
Turdus eremita,nan
Turdus amaurochalinus,nan
Turdus ignobilis,nan
Turdus arthuri,nan
Turdus maranonicus,nan
Turdus flavipes,nan
Turdus subalaris,nan
Turdus murinus,nan
Turdus lawrencii,nan
Turdus obsoletus,nan
Turdus assimilis,nan
Turdus daguae,nan
Turdus albicollis,nan
Turdus leucomelas,nan
Turdus hauxwelli,nan
Turdus fumigatus,nan
Turdus rufiventris,nan
Turdus haplochrous,nan
Turdus nudigenis,nan
Turdus sanchezorum,nan
Turdus maculirostris,nan
Turdus grayi,nan
Muscicapa griseisticta,nan
Muscicapa sibirica,nan
Muscicapa ferruginea,nan
Muscicapa dauurica,nan
Muscicapa randi,nan
Muscicapa segregata,nan
Muscicapa muttui,nan
Muscicapa sodhii,nan
Muscicapa williamsoni,nan
Muscicapa adusta,nan
Muscicapa epulata,nan
Muscicapa sethsmithi,nan
Muscicapa striata,nan
Muscicapa gambagae,nan
Muscicapa aquatica,nan
Muscicapa cassini,nan
Myopornis boehmi,nan
Artomyias ussheri,nan
Artomyias fuliginosa,nan
Bradornis comitatus,nan
Bradornis mariquensis,nan
Bradornis microrhynchus,nan
Agricola pallidus,nan
Agricola infuscatus,nan
Fraseria cinerascens,nan
Fraseria ocreata,nan
Fraseria griseigularis,nan
Fraseria plumbea,nan
Fraseria olivascens,nan
Fraseria lendu,nan
Fraseria tessmanni,nan
Fraseria caerulescens,nan
Namibornis herero,nan
Empidornis semipartitus,nan
Sigelus silens,nan
Melaenornis ardesiacus,nan
Melaenornis annamarulae,nan
Melaenornis edolioides,nan
Melaenornis pammelaina,nan
Melaenornis fischeri,nan
Melaenornis brunneus,nan
Melaenornis chocolatinus,nan
Humblotia flavirostris,nan
Alethe diademata,nan
Alethe castanea,nan
Tychaedon coryphoeus,nan
Tychaedon leucosticta,nan
Tychaedon signata,nan
Tychaedon quadrivirgata,nan
Tychaedon barbata,nan
Cercotrichas podobe,nan
Cercotrichas galactotes,nan
Cercotrichas paena,nan
Cercotrichas hartlaubi,nan
Cercotrichas leucophrys,nan
Copsychus fulicatus,nan
Copsychus saularis,nan
Copsychus pyrropygus,nan
Copsychus albospecularis,nan
Copsychus sechellarum,nan
Copsychus mindanensis,nan
Copsychus malabaricus,nan
Copsychus leggei,nan
Copsychus stricklandii,nan
Copsychus barbouri,nan
Copsychus nigricauda,nan
Copsychus albiventris,nan
Copsychus omissus,nan
Copsychus luzoniensis,nan
Copsychus superciliaris,nan
Copsychus niger,nan
Copsychus cebuensis,nan
Leucoptilon concretum,nan
Sholicola major,nan
Sholicola albiventris,nan
Niltava grandis,nan
Niltava macgrigoriae,nan
Niltava davidi,nan
Niltava sundara,nan
Niltava sumatrana,nan
Niltava oatesi,nan
Niltava vivida,nan
Cyanoptila cyanomelana,nan
Cyanoptila cumatilis,nan
Eumyias sanfordi,nan
Eumyias hoevelli,nan
Eumyias hyacinthinus,nan
Eumyias oscillans,nan
Eumyias stresemanni,nan
Eumyias sordidus,nan
Eumyias albicaudatus,nan
Eumyias indigo,nan
Eumyias thalassinus,nan
Eumyias additus,nan
Eumyias panayensis,nan
Anthipes monileger,nan
Anthipes solitaris,nan
Cyornis ruckii,nan
Cyornis herioti,nan
Cyornis camarinensis,nan
Cyornis hainanus,nan
Cyornis pallidipes,nan
Cyornis poliogenys,nan
Cyornis unicolor,nan
Cyornis rubeculoides,nan
Cyornis glaucicomans,nan
Cyornis magnirostris,nan
Cyornis whitei,nan
Cyornis banyumas,nan
Cyornis montanus,nan
Cyornis kadayangensis,nan
Cyornis caerulatus,nan
Cyornis turcosus,nan
Cyornis lemprieri,nan
Cyornis superbus,nan
Cyornis tickelliae,nan
Cyornis sumatrensis,nan
Cyornis rufigastra,nan
Cyornis omissus,nan
Cyornis kalaoensis,nan
Cyornis brunneatus,nan
Cyornis nicobaricus,nan
Cyornis umbratilis,nan
Cyornis olivaceus,nan
Cyornis ruficauda,nan
Cyornis ocularis,nan
Cyornis ruficrissa,nan
Cyornis pelingensis,nan
Cyornis colonus,nan
Cossyphicula roberti,nan
Cossyphicula isabellae,nan
Dessonornis archeri,nan
Dessonornis anomalus,nan
Dessonornis caffer,nan
Dessonornis humeralis,nan
Cossypha cyanocampter,nan
Cossypha semirufa,nan
Cossypha heuglini,nan
Cossypha natalensis,nan
Cossypha dichroa,nan
Cossypha heinrichi,nan
Cossypha niveicapilla,nan
Cossypha albicapillus,nan
Xenocopsychus ansorgei,nan
Cichladusa arquata,nan
Cichladusa ruficauda,nan
Cichladusa guttata,nan
Erithacus rubecula,nan
Pogonocichla stellata,nan
Swynnertonia swynnertoni,nan
Chamaetylas poliocephala,nan
Chamaetylas poliophrys,nan
Chamaetylas choloensis,nan
Chamaetylas fuelleborni,nan
Stiphrornis pyrrholaemus,nan
Stiphrornis erythrothorax,nan
Stiphrornis mabirae,nan
Sheppardia polioptera,nan
Sheppardia poensis,nan
Sheppardia bocagei,nan
Sheppardia cyornithopsis,nan
Sheppardia aequatorialis,nan
Sheppardia sharpei,nan
