Scientific (Clements),MNEMONIC
Columba livia,nan
Columba rupestris,nan
Columba leuconota,nan
Columba guinea,nan
Columba albitorques,nan
Columba oenas,nan
Columba eversmanni,nan
Columba oliviae,nan
Columba palumbus,nan
Columba trocaz,nan
Columba bollii,nan
Columba unicincta,nan
Columba junoniae,nan
Columba arquatrix,nan
Columba sjostedti,nan
Columba thomensis,nan
Columba delegorguei,nan
Columba iriditorques,nan
Columba malherbii,nan
Columba thiriouxi,nan
Columba pollenii,nan
Columba hodgsonii,nan
Columba albinucha,nan
Columba pulchricollis,nan
Columba elphinstonii,nan
Columba torringtoniae,nan
Columba punicea,nan
Columba argentina,nan
Columba palumboides,nan
Columba janthina,nan
Columba jouyi,nan
Columba versicolor,nan
Columba vitiensis,nan
Columba leucomela,nan
Columba pallidiceps,nan
Aplopelia larvata,nan
Patagioenas cayennensis,nan
Patagioenas speciosa,nan
Patagioenas squamosa,nan
Patagioenas picazuro,nan
Patagioenas corensis,nan
Patagioenas maculosa,nan
Patagioenas leucocephala,nan
Patagioenas flavirostris,nan
Patagioenas inornata,nan
Patagioenas fasciata,nan
Patagioenas araucana,nan
Patagioenas caribaea,nan
Patagioenas oenops,nan
Patagioenas plumbea,nan
Patagioenas subvinacea,nan
Patagioenas nigrirostris,nan
Patagioenas goodsoni,nan
Ectopistes migratorius,nan
Nesoenas picturatus,nan
Nesoenas mayeri,nan
Nesoenas cicur,nan
Nesoenas rodericanus,nan
Streptopelia turtur,nan
Streptopelia lugens,nan
Streptopelia hypopyrrha,nan
Streptopelia orientalis,nan
Streptopelia bitorquata,nan
Streptopelia dusumieri,nan
Streptopelia decaocto,nan
Streptopelia xanthocycla,nan
Streptopelia roseogrisea,nan
Streptopelia reichenowi,nan
Streptopelia decipiens,nan
Streptopelia semitorquata,nan
Streptopelia capicola,nan
Streptopelia vinacea,nan
Streptopelia tranquebarica,nan
Spilopelia chinensis,nan
Spilopelia senegalensis,nan
Macropygia unchall,nan
Macropygia phasianella,nan
Macropygia macassariensis,nan
Macropygia magna,nan
Macropygia timorlaoensis,nan
Macropygia amboinensis,nan
Macropygia doreya,nan
Macropygia rufipennis,nan
Macropygia tenuirostris,nan
Macropygia emiliana,nan
Macropygia cinnamomea,nan
Macropygia modiglianii,nan
Macropygia nigrirostris,nan
Macropygia mackinlayi,nan
Macropygia ruficeps,nan
Reinwardtoena reinwardti,nan
Reinwardtoena browni,nan
Reinwardtoena crassirostris,nan
Turacoena manadensis,nan
Turacoena sulaensis,nan
Turacoena modesta,nan
Turtur chalcospilos,nan
Turtur abyssinicus,nan
Turtur afer,nan
Turtur tympanistria,nan
Turtur brehmeri,nan
Oena capensis,nan
Chalcophaps indica,nan
Chalcophaps longirostris,nan
Chalcophaps stephani,nan
Henicophaps albifrons,nan
Henicophaps foersteri,nan
Pampusana hoedtii,nan
Pampusana stairi,nan
Pampusana sanctaecrucis,nan
Pampusana salamonis,nan
Pampusana ferruginea,nan
Pampusana beccarii,nan
Pampusana canifrons,nan
Pampusana jobiensis,nan
Pampusana rubescens,nan
Pampusana kubaryi,nan
Pampusana erythroptera,nan
Pampusana xanthonura,nan
Pampusana norfolkensis,nan
Phaps chalcoptera,nan
Phaps elegans,nan
Phaps histrionica,nan
Ocyphaps lophotes,nan
Geophaps plumifera,nan
Geophaps scripta,nan
Geophaps smithii,nan
Petrophassa rufipennis,nan
Petrophassa albipennis,nan
Leucosarcia melanoleuca,nan
Geopelia cuneata,nan
Geopelia striata,nan
Geopelia placida,nan
Geopelia maugeus,nan
Geopelia humeralis,nan
Columbina inca,no hope
Columbina passerina,nan
Columbina minuta,nan
Columbina talpacoti,nan
Columbina buckleyi,nan
Columbina squammata,nan
Columbina picui,nan
Columbina cruziana,nan
Columbina cyanopis,nan
Claravis pretiosa,nan
Paraclaravis mondetoura,nan
Paraclaravis geoffroyi,nan
Metriopelia ceciliae,nan
Metriopelia morenoi,nan
Metriopelia melanoptera,nan
Metriopelia aymara,nan
Uropelia campestris,nan
Starnoenas cyanocephala,nan
Geotrygon purpurata,nan
Geotrygon saphirina,nan
Geotrygon versicolor,nan
Geotrygon montana,nan
Geotrygon violacea,nan
Geotrygon caniceps,nan
Geotrygon leucometopia,nan
Geotrygon chrysia,nan
Geotrygon mystacea,nan
Leptotrygon veraguensis,nan
Leptotila verreauxi,nan
Leptotila jamaicensis,nan
Leptotila cassinii,nan
Leptotila conoveri,nan
Leptotila ochraceiventris,nan
Leptotila plumbeiceps,nan
Leptotila rufaxilla,nan
Leptotila wellsi,nan
Leptotila pallida,nan
Leptotila megalura,nan
Zentrygon carrikeri,nan
Zentrygon costaricensis,nan
Zentrygon lawrencii,nan
Zentrygon albifacies,nan
Zentrygon frenata,nan
Zentrygon linearis,nan
Zentrygon chiriquensis,nan
Zentrygon goldmani,nan
Zenaida meloda,nan
Zenaida asiatica,nan
Zenaida aurita,nan
Zenaida galapagoensis,nan
Zenaida auriculata,nan
Zenaida macroura,hooo-ah hoo-hoo-hoo<br/>chirry-chirry-chirry-choreeo
Zenaida graysoni,nan
Caloenas nicobarica,nan
Caloenas maculata,nan
Raphus cucullatus,nan
Pezophaps solitaria,nan
Gallicolumba tristigmata,nan
Gallicolumba rufigula,nan
Gallicolumba platenae,nan
Gallicolumba keayi,nan
Gallicolumba menagei,nan
Gallicolumba luzonica,nan
Gallicolumba crinigera,nan
Microgoura meeki,nan
Trugon terrestris,nan
Otidiphaps nobilis,nan
Goura cristata,nan
Goura sclaterii,nan
Goura scheepmakeri,nan
Goura victoria,nan
Didunculus strigirostris,nan
Phapitreron leucotis,nan
Phapitreron amethystinus,nan
Phapitreron brunneiceps,nan
Phapitreron cinereiceps,nan
Treron olax,nan
Treron vernans,nan
Treron fulvicollis,nan
Treron bicinctus,nan
Treron pompadora,nan
Treron affinis,nan
Treron chloropterus,nan
Treron phayrei,nan
Treron axillaris,nan
Treron aromaticus,nan
Treron curvirostra,nan
Treron griseicauda,nan
Treron teysmannii,nan
Treron floris,nan
Treron psittaceus,nan
Treron capellei,nan
Treron phoenicopterus,nan
Treron waalia,nan
Treron griveaudi,nan
Treron australis,nan
Treron pembaensis,nan
Treron sanctithomae,nan
Treron seimundi,nan
Treron apicauda,nan
Treron calvus,nan
Treron oxyurus,nan
Treron sphenurus,nan
Treron sieboldii,nan
Treron formosae,nan
Megaloprepia formosa,nan
Megaloprepia magnifica,nan
Ramphiculus marchei,nan
Ramphiculus merrilli,nan
Ramphiculus occipitalis,nan
Ramphiculus fischeri,nan
Ramphiculus jambu,nan
Ramphiculus leclancheri,nan
Ramphiculus mangoliensis,nan
Ramphiculus gularis,nan
Ramphiculus subgularis,nan
Alectroenas pulcherrimus,nan
Alectroenas payandeei,nan
Alectroenas sganzini,nan
Alectroenas madagascariensis,nan
Alectroenas nitidissimus,nan
Ptilinopus luteovirens,nan
Ptilinopus layardi,nan
Ptilinopus victor,nan
Ptilinopus arcanus,nan
Ptilinopus melanospilus,nan
Ptilinopus holosericea,nan
Ptilinopus nainus,nan
Ptilinopus porphyreus,nan
Ptilinopus alligator,nan
Ptilinopus cinctus,nan
Ptilinopus dohertyi,nan
Ptilinopus superbus,nan
Ptilinopus rivoli,nan
Ptilinopus speciosus,nan
Ptilinopus solomonensis,nan
Ptilinopus tannensis,nan
Ptilinopus iozonus,nan
Ptilinopus eugeniae,nan
Ptilinopus viridis,nan
Ptilinopus hyogastrus,nan
Ptilinopus granulifrons,nan
Ptilinopus perlatus,nan
Ptilinopus wallacii,nan
Ptilinopus aurantiifrons,nan
Ptilinopus ornatus,nan
Ptilinopus insolitus,nan
Ptilinopus pulchellus,nan
Ptilinopus monacha,nan
Ptilinopus coronulatus,nan
Ptilinopus regina,nan
Ptilinopus mercierii,nan
Ptilinopus dupetithouarsii,nan
Ptilinopus greyi,nan
Ptilinopus porphyraceus,nan
Ptilinopus pelewensis,nan
Ptilinopus roseicapilla,nan
Ptilinopus richardsii,nan
Ptilinopus perousii,nan
Ptilinopus ponapensis,nan
Ptilinopus huttoni,nan
Ptilinopus insularis,nan
Ptilinopus coralensis,nan
Ptilinopus chalcurus,nan
Ptilinopus rarotongensis,nan
Ptilinopus chrysogaster,nan
Ptilinopus hernsheimi,nan
Ptilinopus purpuratus,nan
Ducula poliocephala,nan
Ducula forsteni,nan
Ducula mindorensis,nan
Ducula radiata,nan
Ducula carola,nan
Ducula aenea,nan
Ducula oenothorax,nan
Ducula nicobarica,nan
Ducula perspicillata,nan
Ducula neglecta,nan
Ducula concinna,nan
Ducula pacifica,nan
Ducula rubricera,nan
Ducula oceanica,nan
Ducula aurorae,nan
