English (Clements),Scientific (Clements),English (AviList),Scientific (AviList),TAXON_CONCEPT_ID,taxon_order,category,species_code,bio_concept_code,primary_com_name,sci_name,order1,family,species_group,sparse_report_as,report_as,four_letter_code,extinct,extinct_year,Afrikaans,Albanian,Arabic,Armenian,Assamese,Asturleonese,Azerbaijani,Bangla (Bangladesh),Bengali (India),Bengali,Bulgarian,Catalan,Chinese - Mandarin (trad),"Chinese, Hong Kong","Chinese, Simple","Creole, Haiti",Croatian,Czech,Danish,Dutch,English (AviList)_translations,English,"English, Australia","English, Bangladesh","English, HBW","English, Hawaii","English, Hong Kong","English, IOC","English, India","English, Kenya","English, Malaysia","English, New Zealand","English, Philippines","English, South Africa","English, UAE","English, United Kingdom","English, United States",Estonian,Euskera,Faroese,Finnish,French,"French, AOS","French, Canada","French, France","French, French Guiana","French, Guadeloupe","French, Haiti",Galician,Georgian,German,Greek,Gujarati,Hebrew,Hindi,Hungarian,Icelandic,Indonesian,Italian,Japanese,Kannada,Kashmiri (India),Kazakh,Konkani,Korean,Kyrgyz,Ladakhi,Latvian,Lithuanian,Malayalam,Manipuri,Marathi,Mizo,Mongolian,Māori,Nepali (India),Nepali (Nepal),Norwegian,Odia,Persian,Polish,"Portuguese, Angola","Portuguese, Azores","Portuguese, Brazil","Portuguese, Madeira","Portuguese, Portugal","Punjabi, India",Romanian,Russian,Serbian,Slovak,Slovenian,Spanish,"Spanish, Argentina","Spanish, Chile","Spanish, Costa Rica","Spanish, Cuba","Spanish, Dominican Republic","Spanish, Ecuador","Spanish, Honduras","Spanish, Mexico","Spanish, Panama","Spanish, Paraguay","Spanish, Peru","Spanish, Puerto Rico","Spanish, Spain","Spanish, Uruguay","Spanish, Venezuela",Swedish,"Tamil, India",Telugu,Thai,Turkish,Ukrainian,Zulu,pri_com_name_indxd,authority_code,authority_ver
White-fronted Nunbird,Monasa morphoeus,White-fronted Nunbird,Monasa morphoeus,avibase-567942CC,10356,species,whfnun1,avibase-567942CC,White-fronted Nunbird,Monasa morphoeus,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,whfnun1,WFNU,0,,Witblesnonvoël,,,,,,,,,,Сива пуховка,barbacoll negre frontblanc,,,,,bjeločeli hakuru,lenivka běločelá,,Witvoorhoofdtrappist,White-fronted Nunbird,White-fronted Nunbird,,,White-fronted Nunbird,,,White-fronted Nunbird,,,,,,,,,White-fronted Nunbird,lauk-puhvlind,,,partanunna,Barbacou à front blanc,,Barbacou à front blanc,,,,,,,Weißstirn-Faulvogel,,,,,,Munkablesi,,,シロビタイアマドリ,,,,,,,,,,,,,,,,,,hvitpanneklarisse,,,drzym białoczelny,,,chora-chuva-de-cara-branca,,Chora-chuva-de-faces-brancas,,,Белолобая монашенка,Beločeli nona puf,lenivka bieločelá,,Monja Frentiblanca,,,Monja Frentiblanca,,,Monja Frentiblanca,Monja Pico Rojo,,Monja Frentiblanca,,Monja de Frente Blanca,,Monja frentiblanca,,Monja,vitpannad nunnefågel,,,,Beyaz Alınlı Keşişkuşu,Лінивка-чорнопер білолоба,,"Nunbird, White-fronted",EBIRD,2024
Yellow-billed Nunbird,Monasa flavirostris,Yellow-billed Nunbird,Monasa flavirostris,avibase-0C64158A,10367,species,yebnun1,avibase-0C64158A,Yellow-billed Nunbird,Monasa flavirostris,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,yebnun1,,0,,Geelbeknonvoël,,,,,,,,,,Жълтоклюна пуховка,barbacoll negre becgroc,,,,,žutokljuni hakuru,lenivka žlutozobá,,Geelsnaveltrappist,Yellow-billed Nunbird,Yellow-billed Nunbird,,,Yellow-billed Nunbird,,,Yellow-billed Nunbird,,,,,,,,,Yellow-billed Nunbird,koldnokk-puhvlind,,,keltanokkanunna,Barbacou à bec jaune,,Barbacou à bec jaune,,,,,,,Gelbschnabel-Faulvogel,,,,,,,,,キバシクロアマドリ,,,,,,,,,,,,,,,,,,gulnebbklarisse,,,drzym żółtodzioby,,,chora-chuva-de-bico-amarelo,,Chora-chuva-de-bico-amarelo,,,Желтоклювая монашенка,Žutokljuni nona puf,lenivka žltozobá,,Monja Piquigualda,,,,,,Monja Piquiamarilla,,,,,Monja de Pico Amarillo,,Monja piquigualda,,,gulnäbbad nunnefågel,,,,Sarı Gagalı Keşişkuşu,Лінивка-чорнопер жовтодзьоба,,"Nunbird, Yellow-billed",EBIRD,2024
Swallow-winged Puffbird,Chelidoptera tenebrosa,Swallow-winged Puffbird,Chelidoptera tenebrosa,avibase-B2B4CA58,10369,species,swwpuf1,avibase-B2B4CA58,Swallow-winged Puffbird,Chelidoptera tenebrosa,Galbuliformes,Bucconidae (Puffbirds),Puffbirds and Jacamars,,swwpuf1,,0,,Swaelvlerkpofvoël,,,,,,,,,,Синя пуховка,barbacoll de carpó blanc,,,,,dugokrili hakuru,lenivka vlaštovčí,,Zwaluwbaardkoekoek,Swallow-winged Puffbird,Swallow-winged Puffbird,,,Swallow-winged Puffbird,,,Swallow-winged Puffbird,,,,,,,,,Swallow-winged Puffbird,pääsu-puhvlind,,,pääskylaiskuri,Barbacou à croupion blanc,,Barbacou à croupion blanc,,,,,,,Schwalbenfaulvogel,,,,,,Svöluhlunkur,,,ツバメオオガシラ,,,,,,,,,,,,,,,,,,svaledovenfugl,,,drzym jaskółczy,,,urubuzinho,,Urubuzinho,,,Ласточковая пуховка,Lastokrili puf,lenivka lastovičia,,Buco Golondrina,,,,,,Buco Golondrina,,,,,Buco Golondrina,,Buco golondrina,,Bobito Mirasol,svalvingad trögfågel,,,,Kırlangıç Keşişkuşu,Лінивка ластівкова,,"Puffbird, Swallow-winged",EBIRD,2024
White-eared Jacamar,Galbalcyrhynchus leucotis,White-eared Jacamar,Galbalcyrhynchus leucotis,avibase-E3EC251C,10375,species,whejac1,avibase-E3EC251C,White-eared Jacamar,Galbalcyrhynchus leucotis,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,whejac1,,0,,Witwangspiesbek,,,,,,,,,,Белоух якамар,jacamar d'orelles blanques,,,,,bjelouhi jakamar,leskovec bělouchý,,Kortstaartglansvogel,White-eared Jacamar,White-eared Jacamar,,,White-eared Jacamar,,,White-eared Jacamar,,,,,,,,,White-eared Jacamar,valgekõrv-läiklind,,,lyhytpyrstöjakamari,Jacamar oreillard,,Jacamar oreillard,,,,,,,Kastanienglanzvogel,,,,,,,,,ミミジロキリハシ,,,,,,,,,,,,,,,,,,hvitørejakamar,,,złotopiór białouchy,,,ariramba-vermelha,,Ariramba-vermelha,,,Белоухая якамара,Belouha jakamara,jagavec bielosluchý,,Jacamará Orejiblanco,,,,,,Jacamar Orejiblanco,,,,,Jacamar de Oreja Blanca,,Jacamará orejiblanco,,,vitörad jakamar,,,,Ak Kulaklı Jakamar,Якамара-куцохвіст колумбійська,,"Jacamar, White-eared",EBIRD,2024
Purus Jacamar,Galbalcyrhynchus purusianus,Purus Jacamar,Galbalcyrhynchus purusianus,avibase-46E97893,10376,species,purjac2,avibase-46E97893,Purus Jacamar,Galbalcyrhynchus purusianus,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,purjac2,,0,,Kastaiingspiesbek,,,,,,,,,,Кафяв якамар,jacamar del Purús,,,,,kestenjasti jakamar,leskovec kaštanový,,Purusglansvogel,Purus Jacamar,Purus Jacamar,,,Purus Jacamar,,,Purus Jacamar,,,,,,,,,Purus Jacamar,ruske-läiklind,,,paksunokkajakamari,Jacamar roux,,Jacamar roux,,,,,,,Purúsglanzvogel,,,,,,,,,クリイロキリハシ,,,,,,,,,,,,,,,,,,kastanjejakamar,,,złotopiór kasztanowaty,,,ariramba-castanha,,Sovela-vermelha,,,Каштановая якамара,Kestenjasta jakamara,jagavec gaštanový,,Jacamará del Purús,,,,,,,,,,,Jacamar del Purús,,Jacamará del Purús,,,kastanjejakamar,,,,Purus Jakamarı,Якамара-куцохвіст каштанова,,"Jacamar, Purus",EBIRD,2024
White-throated Jacamar,Brachygalba albogularis,White-throated Jacamar,Brachygalba albogularis,avibase-D4AF382C,10377,species,whtjac1,avibase-D4AF382C,White-throated Jacamar,Brachygalba albogularis,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,whtjac1,,0,,Witkeelspiesbek,,,,,,,,,,Белогуш якамар,jacamar carablanc,,,,,bjelogrli jakamar,leskovec bělohrdlý,,Witkeelglansvogel,White-throated Jacamar,White-throated Jacamar,,,White-throated Jacamar,,,White-throated Jacamar,,,,,,,,,White-throated Jacamar,väike-läiklind,,,valkokurkkujakamari,Jacamar à gorge blanche,,Jacamar à gorge blanche,,,,,,,Weißkehl-Glanzvogel,,,,,,,,,ノドジロキリハシ,,,,,,,,,,,,,,,,,,hvitmaskejakamar,,,złotopiór białogardły,,,agulha-de-garganta-branca,,Agulha-de-garganta-branca,,,Белощёкая якамара,Belogrla jakamara,jagavec bielohrdlý,,Jacamará Gorjiblanco,,,,,,,,,,,Jacamar de Garganta Blanca,,Jacamará gorjiblanco,,,vitstrupig jakamar,,,,Ak Boğazlı Jakamar,Якамара білогорла,,"Jacamar, White-throated",EBIRD,2024
Brown Jacamar,Brachygalba lugubris,Brown Jacamar,Brachygalba lugubris,avibase-8B22F11F,10378,species,brojac2,avibase-8B22F11F,Brown Jacamar,Brachygalba lugubris,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,brojac2,,0,,Bruinspiesbek,,,,,,,,,,Жалобен якамар,jacamar bru,,,,,smeđi jakamar,leskovec hnědý,,Bruinkeelglansvogel,Brown Jacamar,Brown Jacamar,,,Brown Jacamar,,,Brown Jacamar,,,,,,,,,Brown Jacamar,pruun-läiklind,,,ruskojakamari,Jacamar brun,,Jacamar brun,,,,,,,Braunbrust-Glanzvogel,,,,,,,,,チャイロキリハシ,,,,,,,,,,,,,,,,,,brunjakamar,,,złotopiór żałobny,,,ariramba-preta,,Ariramba-preta,,,Бурая якамара,Smeđa jakamara,jagavec hnedý,,Jacamará Pardo,,,,,,Jacamar Pardo,,,,,Jacamar Pardo,,Jacamará pardo,,Barranquero Castaño,brun jakamar,,,,Kahverengi Jakamar,Якамара бура,,"Jacamar, Brown",EBIRD,2024
Pale-headed Jacamar,Brachygalba goeringi,Pale-headed Jacamar,Brachygalba goeringi,avibase-F3E3C721,10386,species,pahjac1,avibase-F3E3C721,Pale-headed Jacamar,Brachygalba goeringi,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,pahjac1,,0,,Witringspiesbek,,,,,,,,,,Блед якамар,jacamar capclar,,,,,svjetloglavi jakamar,leskovec světlehlavý,,Grijskopglansvogel,Pale-headed Jacamar,Pale-headed Jacamar,,,Pale-headed Jacamar,,,Pale-headed Jacamar,,,,,,,,,Pale-headed Jacamar,vöö-läiklind,,,punavyöjakamari,Jacamar à tête pâle,,Jacamar à tête pâle,,,,,,,Fahlnacken-Glanzvogel,,,,,,,,,シロガシラキリハシ,,,,,,,,,,,,,,,,,,blekhodejakamar,,,złotopiór przepasany,,,,,,,,Светлоголовая якамара,Sivoglava jakamara,jagavec bledohlavý,,Jacamará Acollarado,,,,,,,,,,,,,Jacamará acollarado,,Barranquero Acollarado,ljushuvad jakamar,,,,Kestane Kuşaklı Jakamar,Якамара смугастогруда,,"Jacamar, Pale-headed",EBIRD,2024
Dusky-backed Jacamar,Brachygalba salmoni,Dusky-backed Jacamar,Brachygalba salmoni,avibase-26E37EC3,10387,species,dubjac1,avibase-26E37EC3,Dusky-backed Jacamar,Brachygalba salmoni,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,dubjac1,DBJA,0,,Spikkelspiesbek,,,,,,,,,,Панамски якамар,jacamar dorsifosc,,,,,tamnoleđi jakamar,leskovec tmavohřbetý,,Zwartrugglansvogel,Dusky-backed Jacamar,Dusky-backed Jacamar,,,Dusky-backed Jacamar,,,Dusky-backed Jacamar,,,,,,,,,Dusky-backed Jacamar,kolumbia läiklind,,,sammaljakamari,Jacamar sombre,,Jacamar sombre,,,,,,,Salmonglanzvogel,,,,,,,,,ウスグロキリハシ,,,,,,,,,,,,,,,,,,mørkryggjakamar,,,złotopiór ciemny,,,,,,,,Тёмноспинная якамара,Tamna jakamara,jagavec tmavý,,Jacamará Dorsioscuro,,,,,,,,,Jacamar Dorsioscuro,,,,Jacamará dorsioscuro,,,mörkryggig jakamar,,,,Karaca Jakamar,Якамара панамська,,"Jacamar, Dusky-backed",EBIRD,2024
Three-toed Jacamar,Jacamaralcyon tridactyla,Three-toed Jacamar,Jacamaralcyon tridactyla,avibase-4051B630,10388,species,thtjac1,avibase-4051B630,Three-toed Jacamar,Jacamaralcyon tridactyla,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,thtjac1,,0,,Drietoonspiesbek,,,,,,,,,,Трипръст якамар,jacamar tridàctil,,,,,troprsti jakamar,leskovec tříprstý,,Drieteenglansvogel,Three-toed Jacamar,Three-toed Jacamar,,,Three-toed Jacamar,,,Three-toed Jacamar,,,,,,,,,Three-toed Jacamar,kolmvarvas-läiklind,,,kolmivarvasjakamari,Jacamar tridactyle,,Jacamar tridactyle,,,,,,,Dreizehen-Glanzvogel,,,,,,,,,ミツユビキリハシ,,,,,,,,,,,,,,,,,,tretåjakamar,,,złotopiór trójpalczasty,,,cuitelão,,Cuitelão,,,Трёхпалая якамара,Troprsta jakamara,jagavec trojprstý,,Jacamará Tridáctilo,,,,,,,,,,,,,Jacamará tridáctilo,,,tretåig jakamar,,,,Üç Parmaklı Jakamar,Якамара трипала,,"Jacamar, Three-toed",EBIRD,2024
Yellow-billed Jacamar,Galbula albirostris,Yellow-billed Jacamar,Galbula albirostris,avibase-3F3135FF,10389,species,yebjac1,avibase-3F3135FF,Yellow-billed Jacamar,Galbula albirostris,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,yebjac1,,0,,Geelbekglansvoël,,,,,,,,,,Жълтоклюн якамар,jacamar becgroc,,,,,žutokljuni jakamar,leskovec žlutozobý,,Geelsnavelglansvogel,Yellow-billed Jacamar,Yellow-billed Jacamar,,,Yellow-billed/Cerise-crowned Jacamar,,,Yellow-billed Jacamar,,,,,,,,,Yellow-billed Jacamar,selva-läiklind,,,keltanokkajakamari,Jacamar à bec jaune,,Jacamar à bec jaune,,,,,,,Gelbschnabel-Glanzvogel,,,,,,,,,キバシキリハシ,,,,,,,,,,,,,,,,,,gulnebbjakamar,,,złotopiór żółtodzioby,,,ariramba-de-bico-amarelo,,Ariramba-de-bico-amarelo,,,Желтоклювая якамара,Žutokljuna jakamara,jagavec žltozobý,,Jacamará Piquigualdo Oriental,,,,,,Jacamar Piquiamarillo,,,,,Jacamar de Pico Amarillo,,Jacamará piquigualdo,,Barranquero Pico Amarillo,gulnäbbad jakamar,,,,Sarı Gagalı Jakamar,Якамара жовтодзьоба,,"Jacamar, Yellow-billed",EBIRD,2024
Blue-cheeked Jacamar,Galbula cyanicollis,Blue-necked Jacamar,Galbula cyanicollis,avibase-36F7703C,10392,species,bucjac1,avibase-36F7703C,Blue-cheeked Jacamar,Galbula cyanicollis,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,bucjac1,,0,,Blouwangglansvoël,,,,,,,,,,Синебуз якамар,jacamar carablau,,,,,plavolici jakamar,leskovec rezavoprsý,,Purperhalsglansvogel,Blue-cheeked Jacamar,Blue-necked Jacamar,,,Blue-necked Jacamar,,,Blue-necked Jacamar,,,,,,,,,Blue-cheeked Jacamar,lodu-läiklind,,,sininiskajakamari,Jacamar à joues bleues,,Jacamar à joues bleues,,,,,,,Blauhals-Glanzvogel,,,,,,,,,ホオアカキリハシ,,,,,,,,,,,,,,,,,,blånakkejakamar,,,złotopiór niebieskoszyi,,,ariramba-da-mata,,Ariramba-da-mata,,,Синешейная якамара,Plavolika jakamara,jagavec modrohlavý,,Jacamará Cariazul,,,,,,,,,,,Jacamar de Mejilla Azul,,Jacamará cariazul,,,blåhalsad jakamar,,,,Mavi Yanaklı Jakamar,Якамара синьоголова,,"Jacamar, Blue-cheeked",EBIRD,2024
Rufous-tailed Jacamar,Galbula ruficauda,Rufous-tailed Jacamar,Galbula ruficauda,avibase-2EE639E9,10393,species,rutjac1,avibase-2EE639E9,Rufous-tailed Jacamar,Galbula ruficauda,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,rutjac1,RTJA,0,,Rooistertglansvoël,,,,,,,,,,Червеноопашат якамар,jacamar cua-roig,,,,,riđorepi jakamar,leskovec neotropický,,Roodstaartglansvogel,Rufous-tailed Jacamar,Rufous-tailed Jacamar,,,Rufous-tailed Jacamar,,,Rufous-tailed Jacamar,,,,,,,,,Rufous-tailed Jacamar,punasaba-läiklind,,,ruostepyrstöjakamari,Jacamar à queue rousse,,Jacamar à queue rousse,,,,,,,Rotschwanz-Glanzvogel,,,,,,Flugugosi,,,アカオキリハシ,,,,,,,,,,,,,,,,,,rusthalejakamar,,,złotopiór rudosterny,,,ariramba-de-cauda-ruiva,,Ariramba-de-cauda-ruiva,,,Рыжехвостая якамара,Riđorepa jakamara,jagavec červenochvostý,,Jacamará Colirrufo,Yacamará,,Jacamar Rabirrufo,,,Jacamar Colirrufo,Jacamar Cola Rufa,Jacamar Cola Canela,Jacamar Colirrufo,Yacamará,,,Jacamará colirrufo,,Tucuso Barranquero,rödstjärtad jakamar,,,,Kızıl Kuyruklu Jakamar,Якамара рудохвоста,,"Jacamar, Rufous-tailed",EBIRD,2024
Green-tailed Jacamar,Galbula galbula,Green-tailed Jacamar,Galbula galbula,avibase-CC59842F,10402,species,grtjac1,avibase-CC59842F,Green-tailed Jacamar,Galbula galbula,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,grtjac1,,0,,Groenstertglansvoël,,,,,,,,,,Зеленоопашат якамар,jacamar cuaverd,,,,,zelenorepi jakamar,leskovec zelený,,Groenstaartglansvogel,Green-tailed Jacamar,Green-tailed Jacamar,,,Green-tailed Jacamar,,,Green-tailed Jacamar,,,,,,,,,Green-tailed Jacamar,guajaana läiklind,,,viherpyrstöjakamari,Jacamar vert,,Jacamar vert,,,,,,,Grünschwanz-Glanzvogel,,,,,,,,,ミドリオキリハシ,,,,,,,,,,,,,,,,,,grønnhalejakamar,,,złotopiór zielony,,,ariramba-de-cauda-verde,,Ariramba-de-cauda-verde,,,Зелёная якамара,Zelenorepa jakamara,jagavec zelený,,Jacamará Coliverde,,,,,,,,,,,,,Jacamará coliverde,,Tucuso Montañero Coliverde,grönstjärtad jakamar,,,,Yeşil Kuyruklu Jakamar,Якамара зелена,,"Jacamar, Green-tailed",EBIRD,2024
White-chinned Jacamar,Galbula tombacea,White-chinned Jacamar,Galbula tombacea,avibase-7E2D591F,10403,species,whcjac1,avibase-7E2D591F,White-chinned Jacamar,Galbula tombacea,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,whcjac1,,0,,Rooikroonglansvoël,,,,,,,,,,Амазонски якамар,jacamar de barbeta blanca,,,,,smeđočeli jakamar,leskovec bělobradý,,Witkinglansvogel,White-chinned Jacamar,White-chinned Jacamar,,,White-chinned Jacamar,,,White-chinned Jacamar,,,,,,,,,White-chinned Jacamar,tanu-läiklind,,,valkoleukajakamari,Jacamar à menton blanc,,Jacamar à menton blanc,,,,,,,Weißkinn-Glanzvogel,,,,,,,,,シロアゴキリハシ,,,,,,,,,,,,,,,,,,hvithakejakamar,,,złotopiór białobrody,,,ariramba-de-barba-branca,,Ariramba-de-queixo-branco,,,Белобородая якамара,Belobrada jakamara,jagavec bielobradý,,Jacamará Barbiblanco,,,,,,Jacamar Barbiblanco,,,,,Jacamar de Barbilla Blanca,,Jacamará barbiblanco,,,vithakad jakamar,,,,Ak Gıdılı Jakamar,Якамара еквадорська,,"Jacamar, White-chinned",EBIRD,2024
Bluish-fronted Jacamar,Galbula cyanescens,Bluish-fronted Jacamar,Galbula cyanescens,avibase-F5823411,10406,species,blfjac1,avibase-F5823411,Bluish-fronted Jacamar,Galbula cyanescens,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,blfjac1,,0,,Bloukroonglansvoël,,,,,,,,,,Синьочел якамар,jacamar de capell blau,,,,,plavočeli jakamar,leskovec modročelý,,Blauwkruinglansvogel,Bluish-fronted Jacamar,Bluish-fronted Jacamar,,,Bluish-fronted Jacamar,,,Bluish-fronted Jacamar,,,,,,,,,Bluish-fronted Jacamar,türkiis-läiklind,,,sininaamajakamari,Jacamar à couronne bleue,,Jacamar à couronne bleue,,,,,,,Blaustirn-Glanzvogel,,,,,,,,,アオボウシキリハシ,,,,,,,,,,,,,,,,,,blåpannejakamar,,,złotopiór modroczelny,,,ariramba-da-capoeira,,Ariramba-da-capoeira,,,Синелобая якамара,Plavočela jakamara,jagavec modročelý,,Jacamará Coroniazul,,,,,,Jacamar Frentiazul,,,,,Jacamar de Frente Azulada,,Jacamará coroniazul,,,blåpannad jakamar,,,,Mavi Alınlı Jakamar,Якамара синьолоба,,"Jacamar, Bluish-fronted",EBIRD,2024
Coppery-chested Jacamar,Galbula pastazae,Coppery-chested Jacamar,Galbula pastazae,avibase-988D86DA,10407,species,cocjac2,avibase-988D86DA,Coppery-chested Jacamar,Galbula pastazae,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,cocjac2,,0,,Koperborsglansvoël,,,,,,,,,,Еквадорски якамар,jacamar de coure,,,,,planinski jakamar,leskovec ekvádorský,,Koperborstglansvogel,Coppery-chested Jacamar,Coppery-chested Jacamar,,,Coppery-chested Jacamar,,,Coppery-chested Jacamar,,,,,,,,,Coppery-chested Jacamar,nõlva-läiklind,,,kuparijakamari,Jacamar des Andes,,Jacamar des Andes,,,,,,,Kupferglanzvogel,,,,,,,,,セミドリキリハシ,,,,,,,,,,,,,,,,,,kobberjakamar,,,złotopiór lśniący,,,,,,,,Рыжебрюхая якамара,Bakrena jakamara,jagavec jakamar,,Jacamará Cobrizo,,,,,,Jacamar Pechicobrizo,,,,,Jacamar de Pecho Cobrizo,,Jacamará cobrizo,,,kopparjakamar,,,,Dağ Jakamarı,Якамара вогнистогруда,,"Jacamar, Coppery-chested",EBIRD,2024
Purplish Jacamar,Galbula chalcothorax,Purplish Jacamar,Galbula chalcothorax,avibase-169A7FC9,10408,species,purjac1,avibase-169A7FC9,Purplish Jacamar,Galbula chalcothorax,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,purjac1,,0,,Persglansvoël,,,,,,,,,,Огърличест якамар,jacamar violaci,,,,,purpurni jakamar,leskovec hvízdavý,,Purperglansvogel,Purplish Jacamar,Purplish Jacamar,,,Purplish Jacamar,,,Purplish Jacamar,,,,,,,,,Purplish Jacamar,purpur-läiklind,,,loretonjakamari,Jacamar violacé,,Jacamar violacé,,,,,,,Purpurglanzvogel,,,,,,,,,ムラサキキリハシ,,,,,,,,,,,,,,,,,,purpurjakamar,,,złotopiór purpurowy,,,ariramba-violácea,,Ariramba-violeta,,,Медная якамара,Ljubičasta jakamara,jagavec pestrý,,Jacamará Violáceo,,,,,,Jacamar Purpúreo,,,,,Jacamar Purpúreo,,Jacamará violáceo,,,purpurjakamar,,,,Morumsu Jakamar,Якамара пурпурова,,"Jacamar, Purplish",EBIRD,2024
Bronzy Jacamar,Galbula leucogastra,Bronzy Jacamar,Galbula leucogastra,avibase-EB348872,10409,species,brojac1,avibase-EB348872,Bronzy Jacamar,Galbula leucogastra,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,brojac1,,0,,Bronsglansvoël,,,,,,,,,,Белокорем якамар,jacamar bronzat,,,,,pjegavotrbi jakamar,leskovec bronzový,,Bronsglansvogel,Bronzy Jacamar,Bronzy Jacamar,,,Bronzy Jacamar,,,Bronzy Jacamar,,,,,,,,,Bronzy Jacamar,pronks-läiklind,,,pronssijakamari,Jacamar à ventre blanc,,Jacamar à ventre blanc,,,,,,,Bronzeglanzvogel,,,,,,,,,ブロンズキリハシ,,,,,,,,,,,,,,,,,,bronsejakamar,,,złotopiór białobrzuchy,,,ariramba-bronzeada,,Ariramba-bronze,,,Бронзовая якамара,Bronzana jakamara,jagavec bielobruchý,,Jacamará Bronceado,,,,,,,,,,,Jacamar Bronceado,,Jacamará bronceado,,Barranquero Dorado,bronsjakamar,,,,Bronz Renkli Jakamar,Якамара білочерева,,"Jacamar, Bronzy",EBIRD,2024
Paradise Jacamar,Galbula dea,Paradise Jacamar,Galbula dea,avibase-FBD3D390,10410,species,parjac1,avibase-FBD3D390,Paradise Jacamar,Galbula dea,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,parjac1,,0,,Langstertglansvoël,,,,,,,,,,Райски якамар,jacamar cuallarg,,,,,dugorepi jakamar,leskovec dlouhoocasý,,Paradijsglansvogel,Paradise Jacamar,Paradise Jacamar,,,Paradise Jacamar,,,Paradise Jacamar,,,,,,,,,Paradise Jacamar,tõmmu-läiklind,,,paratiisijakamari,Jacamar à longue queue,,Jacamar à longue queue,,,,,,,Paradiesglanzvogel,,,,,,Meyjagosi,,,オナガキリハシ,,,,,,,,,,,,,,,,,,paradisjakamar,,,złotopiór wspaniały,,,ariramba-do-paraíso,,Ariramba-do-paraíso,,,Райская якамара,Rajska jakamara,jagavec dlhochvostý,,Jacamará Colilargo,,,,,,Jacamar Paraíso,,,,,Jacamar del Paraíso,,Jacamará colilargo,,Barranquero Colilargo,paradisjakamar,,,,Uzun Kuyruklu Jakamar,Якамара турмалінова,,"Jacamar, Paradise",EBIRD,2024
Great Jacamar,Jacamerops aureus,Great Jacamar,Jacamerops aureus,avibase-268D9909,10416,species,grejac2,avibase-268D9909,Great Jacamar,Jacamerops aureus,Galbuliformes,Galbulidae (Jacamars),Puffbirds and Jacamars,,grejac2,GREJ,0,,Grootglansvoël,,,,,,,,,,Голям якамар,jacamar gros,,,,,veliki jakamar,leskovec velký,,Grote glansvogel,Great Jacamar,Great Jacamar,,,Great Jacamar,,,Great Jacamar,,,,,,,,,Great Jacamar,suur-läiklind,,,kuningasjakamari,Grand Jacamar,,Grand Jacamar,,,,,,,Riesenglanzvogel,,,,,,,,,オオキリハシ,,,,,,,,,,,,,,,,,,storjakamar,,,złotopiór wielki,,,jacamaraçu,,Jacamaraçu,,,Большая якамара,Velika jakamara,jagavec širokozobý,,Jacamará Grande,,,Jacamar Grande,,,Jacamar Grande,Jacamar Grande,,Jacamar Grande,,Jacamar Grande,,Jacamará grande,,Barranquero Grande,jättejakamar,,,,Büyük Jakamar,Якамара велика,,"Jacamar, Great",EBIRD,2024
Western Yellow-billed Barbet,Trachylaemus goffinii,Western Yellow-billed Barbet,Trachylaemus goffinii,avibase-548EE951,10423,species,yebbar1,avibase-548EE951,Western Yellow-billed Barbet,Trachylaemus goffinii,Piciformes,Lybiidae (African Barbets),Barbets and Toucans,,yebbar1,,0,,Westelike Geelbekhoutkapper,,,,,,,,,,Западна жълтоклюна брадатка,barbut becgroc occidental,,,,,,vousáček žlutozobý,,Westelijke geelsnavelbaardvogel,Western Yellow-billed Barbet,Western Yellow-billed Barbet,,,Western/Togo Yellow-billed Barbet,,,Western Yellow-billed Barbet,,,,,,,,,Western Yellow-billed Barbet,,,,,Barbican de Goffin,,Barbican de Goffin,,,,,,,Gelbbauch-Bartvogel,,,,,,,,,キバシオナガゴシキドリ,,,,,,,,,,,,,,,,,,,,,żółtodziób plamkogardły,,,,,,,,,Zapadni žutokljuni barbet,perlavec čiernooký,,Barbudo Piquigualdo,,,,,,,,,,,,,Barbudo piquigualdo occidental,,,guineabarbett,,,,Sarı Gagalı Barbet,,,"Barbet, Western Yellow-billed",EBIRD,2024
